epoch,acc,loss,val_acc,val_loss
0,0.35012455021876426,1.3311919711020854,0.4553314141650021,1.2899096695765295
1,0.6385275393584214,0.9999832819117227,0.6282420759585817,0.9396445685917088
2,0.7896484916242509,0.5897960086922022,0.6916426518121439,0.7919269071016943
3,0.8486022696480539,0.4209853221002194,0.6829971203886467,0.8340698215219404
4,0.8762800996731828,0.33842490246808665,0.6945244979102605,0.8372870622691229
5,0.903127594978038,0.27347650261193207,0.7031700293337577,0.8400927843037531
6,0.9236091890725738,0.22970711607913907,0.6599423624253067,0.9781340116726218
7,0.9371713259495298,0.1933576301412506,0.6858789618489378,0.9547390632052243
8,0.9504566842289536,0.16426357057759083,0.674351584327324,1.0321140467948804
9,0.9543315804040963,0.14975697919004616,0.6801152730881309,1.0917911958969293
10,0.9626349294215334,0.12734674888570455,0.6685878955665171,1.132932675932601
11,0.9648491558261832,0.11785271786897755,0.6829971174685343,1.1994255585354412
12,0.9690008301864262,0.10502523335597537,0.6772334287077274,1.2405414746199286
13,0.9701079435372267,0.0984653777180205,0.6714697399469205,1.2237858775713257
14,0.9717686133407141,0.09043877877845613,0.674351584327324,1.3125433188350468
15,0.96983116508817,0.08883178192857161,0.6858789618489378,1.3340847497371158
16,0.9720453914928199,0.08987756630876471,0.6599423624253067,1.3427523336767806
17,0.9742596178974697,0.07980689150171698,0.6628242085234233,1.3708459781294942
18,0.9764738443021196,0.0713010566789062,0.6541786753822129,1.4461473695482918
19,0.9725989480939824,0.0778575309493223,0.6714697399469205,1.4174951507310016
20,0.9764738443021196,0.07033866517289075,0.6455331422410026,1.454947437092619
21,0.9742596180459452,0.06764366872734454,0.6801152730881309,1.4246832590968876
22,0.9778577359535012,0.0664723525713091,0.6657060511861136,1.4594794063471923
23,0.9761970661500139,0.06304568106616872,0.6685878972842302,1.506695229484987
24,0.9764738443021196,0.0629755827344886,0.6685878972842302,1.495127670016
